Zone,District,Fiscal Month Number,Fiscal Year,Month Name,Diversion Rate-Total (Total Recycling / Total Waste),Capture Rate-Paper (Total Paper / Max Paper),Capture Rate-MGP (Total MGP / Max MGP),Capture Rate-Total ((Total Recycling - Leaves (Recycling)) / (Max Paper + Max MGP))x100
Brooklyn North,BKN01,10.000000000000000,2008.000000000000000,April,60.688074208956301,39.331263028795000,38.087160150195693,424.301096979533042
Brooklyn North,BKN02,10.000000000000000,2008.000000000000000,April,67.941405805135503,37.829364359101397,49.102304916810901,406.543897955661066
Brooklyn North,BKN03,10.000000000000000,2008.000000000000000,April,51.098348966571798,24.442502077233797,33.028304142442195,298.577351413774068
Brooklyn North,BKN04,10.000000000000000,2008.000000000000000,April,55.356563601672100,24.767962206287898,44.149040101120697,348.465213935367046
Brooklyn North,BKN05,10.000000000000000,2008.000000000000000,April,51.042098312594696,26.338451212459500,40.130606657130201,293.722364243606023
Brooklyn North,BKN08,10.000000000000000,2008.000000000000000,April,61.289762768284895,40.152531498536895,44.520048940511693,430.255471855415010
Brooklyn North,BKN09,10.000000000000000,2008.000000000000000,April,53.104069592632499,31.030158930109202,32.106759422350294,309.703291109575048
Brooklyn North,BKN16,10.000000000000000,2008.000000000000000,April,45.554759981658599,22.621008339160397,26.107464251375902,242.341104152752024
Brooklyn North,BKN17,10.000000000000000,2008.000000000000000,April,59.298576989971302,35.844665406629595,51.814391993789300,383.206887434095052
Brooklyn South,BKS06,10.000000000000000,2008.000000000000000,April,77.361808370598894,57.164790501644596,74.061527427093409,583.789883085095994
Brooklyn South,BKS07,10.000000000000000,2008.000000000000000,April,70.210166803322991,57.194504380094195,64.027462715127896,577.773702091813107
Brooklyn South,BKS10,10.000000000000000,2008.000000000000000,April,72.244987164975100,69.862190633227200,64.204989157936993,617.480451527295031
Brooklyn South,BKS11,10.000000000000000,2008.000000000000000,April,68.099101895207298,60.274942266331799,55.398420498219394,526.234962270622077
Brooklyn South,BKS12,10.000000000000000,2008.000000000000000,April,61.912529488696300,50.782986411673804,41.460619817146799,433.501699926021047
Brooklyn South,BKS13,10.000000000000000,2008.000000000000000,April,58.772351277479004,51.084662902639188,38.380328375874200,413.879129534903029
Brooklyn South,BKS14,10.000000000000000,2008.000000000000000,April,60.679429727101201,41.409463766359593,47.760309616416706,397.013905488115029
Brooklyn South,BKS15,10.000000000000000,2008.000000000000000,April,67.657177985077993,62.752114885623996,54.454640243300702,513.212553465725932
Brooklyn South,BKS18,10.000000000000000,2008.000000000000000,April,63.288997158591599,52.745331465158998,62.499775704252897,491.754494352675067
Bronx,BX01,10.000000000000000,2008.000000000000000,April,36.802199288764804,15.302353822796499,16.550735311365102,186.356573894572023
Bronx,BX02,10.000000000000000,2008.000000000000000,April,49.818381896844997,22.047821319081702,30.191239443271101,308.014405741451014
Bronx,BX03,10.000000000000000,2008.000000000000000,April,43.156680603748697,17.240024819255598,18.181148056436900,241.594522856909009
Bronx,BX04,10.000000000000000,2008.000000000000000,April,46.356668511091300,22.831663599273899,25.784812707510902,269.397331785529047
Bronx,BX05,10.000000000000000,2008.000000000000000,April,50.791170873575901,24.409898953385198,39.695646778705701,314.579262849747010
Bronx,BX06,10.000000000000000,2008.000000000000000,April,53.162036205724000,26.975307375219696,33.631569885477994,347.295977722551015
Bronx,BX07,10.000000000000000,2008.000000000000000,April,54.905559396489693,31.512518509178399,40.767095518084595,365.648210604517033
Bronx,BX08,10.000000000000000,2008.000000000000000,April,66.769109555607400,49.909378336881296,57.078504769499396,499.271126782427075
Bronx,BX09,10.000000000000000,2008.000000000000000,April,44.443550212827496,20.570331488370698,26.632836594020699,232.503375800458031
Bronx,BX10,10.000000000000000,2008.000000000000000,April,64.701362332187301,49.860962686808605,51.262481226481100,466.570114739003031
Bronx,BX11,10.000000000000000,2008.000000000000000,April,60.701899313309902,41.073340094772796,50.108111626854999,402.275978477652018
Bronx,BX12,10.000000000000000,2008.000000000000000,April,62.886112222771594,37.914367587634999,58.791334004908094,439.008426890893020
Manhattan,MN01,10.000000000000000,2008.000000000000000,April,80.438366626017100,58.617431815075896,65.317732331759103,569.429494798117958
Manhattan,MN02,10.000000000000000,2008.000000000000000,April,74.868433828883795,46.797533806979402,70.242536962420104,435.733288883132047
Manhattan,MN03,10.000000000000000,2008.000000000000000,April,58.255626951503402,48.807267123804600,35.836472810943398,408.502819206358083
Manhattan,MN04,10.000000000000000,2008.000000000000000,April,73.905653666913196,40.404048138148696,71.600367001146296,427.080339732318009
Manhattan,MN05,10.000000000000000,2008.000000000000000,April,72.952293155764096,45.406076153188600,64.668496216003192,400.972745791981083
Manhattan,MN06,10.000000000000000,2008.000000000000000,April,72.424398703795404,50.346743685297390,67.975943970128910,378.507704982361986
Manhattan,MN07,10.000000000000000,2008.000000000000000,April,74.669925043558692,48.193509524830802,60.847434909601098,434.718483270531010
Manhattan,MN08,10.000000000000000,2008.000000000000000,April,74.166477556693295,50.619099612182701,61.412699631546701,417.695334244669027
Manhattan,MN09,10.000000000000000,2008.000000000000000,April,60.573497587584797,48.223886761595899,33.223771947459795,451.985470143835073
Manhattan,MN10,10.000000000000000,2008.000000000000000,April,55.674782835393707,34.819023743984104,24.935251230446600,383.550465191872036
Manhattan,MN11,10.000000000000000,2008.000000000000000,April,51.622167274396894,38.189365305791000,21.291261887330698,325.512606115252026
Manhattan,MN12,10.000000000000000,2008.000000000000000,April,58.855612828910800,40.624660230780698,40.750905002472194,422.251367067248054
Queens East,QE07,10.000000000000000,2008.000000000000000,April,66.835481781294703,63.517038523400799,50.828469464744593,496.238187765526050
Queens East,QE08,10.000000000000000,2008.000000000000000,April,63.087795859462098,36.009712529365103,43.232525111721493,333.018998491225034
Queens East,QE10,10.000000000000000,2008.000000000000000,April,66.848555978506994,56.201032398135894,74.310965830456496,562.223851068734007
